x,old_curve,finetuned_curve,kl_finetuned_curve,finetuned_q25,finetuned_q75,kl_finetuned_q25,kl_finetuned_q75
0.22484969939879731,-0.91850007447417714,-1.7208384127549519,-1.581831285692757,-1.89892696696602,-1.4738161426893754,-1.7515085392686061,-1.4422651812146348
0.23847695390781529,-0.9514627191574504,-1.6775289844802983,-1.5571022754133985,-1.8370266699818285,-1.4560226895825523,-1.7082541156480211,-1.4252259680655295
0.25210420841683351,-0.97733837345522723,-1.6225464265254068,-1.5166426704830949,-1.7591327804002481,-1.4405674400673267,-1.6516062447735158,-1.4076603473310287
0.26573146292585126,-1.0123884694435521,-1.5594613718366026,-1.4745295937035139,-1.6675967427214249,-1.414284563936189,-1.5876644083563818,-1.3832597453933966
0.27935871743486923,-1.0009742468558209,-1.4827100321725715,-1.4235261571850215,-1.5752869633772244,-1.3749298337920044,-1.5135445627207136,-1.3449866000466193
0.29298597194388742,-1.0108909420817951,-1.4055953655933358,-1.360881448891337,-1.4722272108811971,-1.3208146421603348,-1.4313809044532575,-1.2972982943161315
0.3066132264529054,-0.98474089566353307,-1.3182739402446506,-1.2815680204297411,-1.3604530395616949,-1.2586528637813914,-1.3342593940597167,-1.2396342664527866
0.32024048096192337,-0.98891077562435525,-1.2136799781757683,-1.1940592307865117,-1.2403556268174443,-1.1814258454843971,-1.2244072206839958,-1.1665773531079362
0.33386773547094156,-0.97343610914469825,-1.0993377494915961,-1.0914963262483779,-1.1118701740617882,-1.0853480531171484,-1.1064427079733945,-1.0765683568682511
0.34749498997995953,-0.98045894855902072,-0.96621193533916683,-0.96600796191231963,-0.98261286388037861,-0.95366746120430501,-0.98104318636038368,-0.95036301674192158
0.36112224448897751,-0.97133074936019737,-0.82463119388339745,-0.82752958097329976,-0.85350373660178525,-0.79859240787444952,-0.85246846436500823,-0.80328593849365504
0.3747494989979957,-1.0229743085802916,-0.66490655310018609,-0.67292074173757299,-0.70398171711895041,-0.6322727125357156,-0.70389201912921773,-0.63989204467816163
0.38837675350701367,-1.0293546472526649,-0.48713289265960596,-0.50182208386319815,-0.53355494732683839,-0.45446993851541073,-0.53440590934894128,-0.46189918779301808
0.40200400801603164,-1.0564843087531572,-0.29864891046570829,-0.30977354170234667,-0.34420733188608876,-0.26338968247298777,-0.34830766318240852,-0.27114162484416815
0.41563126252504967,-1.1001192661519117,-0.097676943101193042,-0.10473897939668654,-0.13653957226814617,-0.065412936436714864,-0.14047048496036341,-0.071820039316891904
0.42925851703406787,-1.114255137365499,0.11607509587733117,0.11174489862170611,0.089568874367797896,0.13863814094406041,0.084977970000467723,0.13882923065374425
0.44288577154308584,-1.1301928495199645,0.33457388334813232,0.33432822240953491,0.31994069725779206,0.34657535473220408,0.31793913781663707,0.35236772353187956
0.45651302605210381,-1.1341043378117126,0.55636066319437016,0.55925638169865644,0.54603797157685408,0.56518702334999238,0.55133523924559391,0.57109305349917838
0.470140280561122,-1.1511419265770324,0.77330767568298664,0.78152233361799439,0.74922812649909121,0.80163997952866584,0.76052324944768435,0.80836817273034045
0.48376753507013998,-1.1661452758499427,0.98341561308329895,0.9956191646833491,0.94624614487653225,1.0298533556255722,0.95631316444785663,1.0410152198531573
0.49739478957915795,-1.1932980363735868,1.183281355457394,1.2000306452376464,1.1283244580366718,1.2510421697260385,1.1411126488789423,1.2658808587486836
0.51102204408817609,-1.219807259305262,1.3698237864392673,1.3875722276615776,1.2926098091083367,1.4518338855529054,1.3107721485965036,1.4644832284516709
0.52464929859719411,-1.2420770560790393,1.5274668915444214,1.5558987404871045,1.4412247897378185,1.6263808499422401,1.4628149639473833,1.6485527663350337
0.53827655310621214,-1.2748342867403144,1.6725635565180501,1.703378431974083,1.5713918835133707,1.7858257772491977,1.5987878211420894,1.8033239076095446
0.55190380761523006,-1.3036957482682499,1.7971292544145889,1.8191301398099831,1.6904937343900399,1.9136848872395971,1.7085706183744223,1.9363447470588335
0.56553106212424831,-1.320696838317001,1.898350834424654,1.9183599636301183,1.7830090633963638,2.0245970927408927,1.79922659538739,2.0481283072786383
0.57915831663326622,-1.3336335572455971,1.9763059373088883,1.9998357427495752,1.8586518053724226,2.1092247864137117,1.8826887268035419,2.1380761620304503
